WEO Country Code,ISO,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
534,IND,India,"1,210.46","1,253.68","1,267.40","1,328.59","1,348.04","1,387.17","1,421.51","1,445.95","1,551.49","1,609.43","1,663.60","1,647.23","1,703.08","1,749.17","1,829.74","1,930.93","2,037.72","2,080.98","2,169.40","2,310.89","2,360.63","2,434.89","2,487.65","2,641.28","2,802.95","3,015.19","3,243.99","3,508.59","3,592.10","3,842.12","4,179.50","4,399.89","4,583.17","4,818.51","5,116.61","5,464.39","5,851.43","6,183.00","6,518.97","6,708.12","6,172.05","6,693.18","7,195.37","7,597.67","8,003.32","8,424.50","8,861.15",2013
536,IDN,Indonesia,"2,852.22","3,009.62","3,017.58","3,083.16","3,252.40","3,313.92","3,483.29","3,640.26","3,818.83","4,085.01","4,366.44","4,678.69","4,902.57","5,206.26","5,507.48","5,862.97","6,249.16","6,468.16","5,554.94","5,534.96","5,744.18","5,869.76","6,047.62","6,247.62","6,469.67","6,741.81","7,012.67","7,352.77","7,788.87","8,040.42","8,432.94","8,792.32","9,192.04","9,570.56","9,916.34","10,260.61","10,655.77","11,073.52","11,522.78","11,976.32","11,585.57","11,866.41","12,451.86","13,120.40","13,726.48","14,326.86","14,945.44",2020
429,IRN,Islamic Republic of Iran,"11,328.64","9,969.65","10,850.83","11,881.54","10,304.87","9,712.74","8,503.04","8,545.28","7,548.30","7,750.35","8,931.80","9,656.48","9,717.46","9,697.16","9,414.67","9,373.41","9,812.10","9,595.97","9,616.60","9,486.04","9,969.00","9,882.84","10,731.98","11,545.33","11,868.46","12,062.60","12,466.99","13,319.36","13,186.48","13,150.05","13,732.19","13,909.38","12,723.50","12,549.60","12,871.66","12,540.88","14,046.99","14,402.19","13,380.45","12,336.98","12,622.45","12,805.18","12,931.34","13,058.92","13,188.04","13,317.88","13,449.18",2019
433,IRQ,Iraq,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"5,155.32","7,695.85","7,623.70","7,856.39","7,816.33","8,261.36","8,332.89","8,637.55","9,056.08","10,059.04","10,554.47","10,151.67","10,346.33","11,603.67","10,916.39","11,134.60","11,483.07","9,434.77","9,531.07","10,265.33","10,575.92","10,655.04","10,705.87","10,756.81",2013
178,IRL,Ireland,"20,334.15","20,588.31","20,676.25","20,384.84","20,889.02","21,229.66","21,316.04","22,055.37","22,818.25","24,244.89","26,141.87","26,421.01","27,145.02","27,620.86","29,152.53","31,812.54","34,467.51","37,773.89","40,651.74","44,426.27","47,904.35","49,665.45","51,695.06","52,389.54","54,873.81","56,638.06","57,794.98","59,162.66","55,620.37","52,421.40","53,096.46","53,468.55","53,206.16","53,581.20","57,789.66","71,625.06","72,207.74","77,779.91","83,751.48","86,729.41","91,009.73","101,905.47","104,517.91","107,606.54","109,687.83","111,799.54","113,912.69",2020
436,ISR,Israel,"18,780.87","19,528.03","19,456.95","19,544.95","19,722.39","20,240.57","20,638.42","21,828.35","22,235.76","22,169.51","22,919.67","22,578.29","23,357.19","23,613.80","24,634.05","26,295.20","27,192.14","27,571.62","28,036.90","28,325.33","30,017.34","29,345.84","28,707.61","28,514.52","29,392.56","30,081.16","31,255.91","32,587.60","33,113.48","32,706.30","33,936.11","35,160.72","35,494.11","36,502.75","37,286.31","37,386.70","38,293.18","39,206.06","39,988.50","40,710.86","39,128.19","41,148.34","42,064.55","42,792.64","43,400.67","43,989.70","44,595.18",2020
136,ITA,Italy,"29,816.91","29,934.72","29,957.58","30,213.85","31,122.96","31,925.63","32,785.26","33,792.77","35,145.04","36,262.58","36,952.02","37,450.89","37,702.45","37,355.84","38,116.50","39,137.71","39,633.66","40,336.21","41,046.31","41,710.15","43,278.73","44,094.48","44,181.17","44,093.03","44,390.36","44,420.04","45,025.68","45,522.06","44,708.94","42,049.40","42,576.56","42,693.06","41,312.44","40,436.06","40,388.24","40,736.62","41,353.91","42,111.53","42,599.57","42,808.50","39,125.49","41,424.26","43,214.25","43,942.49","44,411.95","44,869.75","45,321.33",2019
343,JAM,Jamaica,"7,957.10","8,162.55","8,273.22","8,447.72","8,508.78","8,306.22","8,808.47","9,418.20","8,989.17","9,393.30","9,680.90","9,697.70","9,892.88","10,028.46","10,127.30","10,288.97","10,217.03","9,952.43","9,736.23","9,737.76","9,723.52","9,762.13","9,771.62","10,093.55","10,190.51","10,244.89","10,504.48","10,618.46","10,494.35","10,100.81","9,920.97","10,035.02","9,958.60","9,968.47","10,017.36","10,090.25","10,233.18","10,286.74","10,455.17","10,544.60","9,474.21","9,896.48","10,150.74","10,382.93","10,584.10","10,762.97","10,924.68",2019
158,JPN,Japan,"22,330.96","23,102.06","23,700.45","24,366.79","25,298.50","26,457.11","27,192.00","28,341.81","30,137.03","31,477.76","32,908.17","33,898.24","34,065.15","33,779.34","33,980.73","34,785.81","35,797.50","36,062.77","35,509.48","35,324.26","36,230.93","36,284.71","36,223.56","36,712.20","37,485.39","38,156.34","38,681.72","39,252.31","38,791.51","36,623.68","38,111.41","38,049.96","38,657.44","39,500.44","39,683.85","40,348.25","40,657.98","41,408.95","41,722.88","41,819.77","40,020.07","41,120.07","42,609.80","43,383.83","43,947.40","44,415.86","44,865.88",2015
439,JOR,Jordan,"9,578.84","10,657.52","10,784.38","10,373.41","10,508.02","9,970.11","10,112.56","10,001.34","9,818.09","8,338.96","8,035.75","7,808.63","8,366.89","8,173.68","8,182.83","8,372.71","8,172.02","8,316.96","8,422.20","8,509.96","8,719.69","8,983.53","9,441.46","9,612.37","10,132.20","10,641.67","11,156.68","11,545.17","11,782.47","11,773.38","11,440.01","11,144.06","10,818.34","10,545.37","10,412.35","10,264.49","10,140.90","10,089.53","10,075.43","10,103.11","9,811.08","9,902.75","10,087.02","10,331.64","10,606.77","10,889.23","11,179.21",2018
